artist_name,album_name,song_name,song_popularity,song_duration_ms,song_danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_genre
Gen Hoshino,Comedy,Comedy,73,230666,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01E-06,0.358,0.715,87.917,4,acoustic
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56E-06,0.101,0.267,77.489,4,acoustic
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,0.438,0.359,0,-9.734,1,0.0557,0.21,0,0.117,0.12,76.332,4,acoustic
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07E-05,0.132,0.143,181.74,3,acoustic
Chord Overstreet,Hold On,Hold On,82,198853,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4,acoustic
Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,0.688,0.481,6,-8.807,1,0.105,0.289,0,0.189,0.666,98.017,4,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4,acoustic
Ross Copperman,Hunger,Hunger,56,205594,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,acoustic
Zack Tabudlo,Episode,Give Me Your Forever,74,244800,0.627,0.363,8,-8.127,1,0.0291,0.279,0,0.0928,0.301,99.905,4,acoustic
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3,acoustic
Dan Berk,Solo,Solo,52,198712,0.489,0.314,7,-9.245,0,0.0331,0.749,0,0.113,0.607,124.234,4,acoustic
Anna Hamilton,Bad Liar,Bad Liar,62,248448,0.691,0.234,3,-6.441,1,0.0285,0.777,0,0.12,0.209,87.103,4,acoustic
Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83E-05,0.121,0.387,120.004,4,acoustic
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56E-05,0.179,0.238,83.457,3,acoustic
Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03E-06,0.125,0.414,110.154,4,acoustic
Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17E-05,0.0853,0.609,91.803,4,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,0.717,0.32,3,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,acoustic
Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,0.678,0.351,0,-8.654,1,0.0266,0.747,0,0.355,0.569,90.032,4,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3,acoustic
Jason Mraz,Coffee Moment,93 Million Miles,0,216386,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4,acoustic
Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,231266,0.796,0.667,5,-4.831,0,0.0392,0.381,0,0.221,0.754,97.988,4,acoustic
Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,0.755,0.454,9,-9.609,0,0.0352,0.757,0,0.236,0.33,120.06,4,acoustic
Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,0.633,0.429,4,-6.784,0,0.0381,0.0444,0,0.132,0.52,143.793,4,acoustic
Jason Mraz,Christmas Time,Winter Wonderland,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,0.593,0.455,6,-8.192,1,0.0388,0.366,0,0.0914,0.564,202.019,4,acoustic
Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,259558,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic
Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0,259558,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic
Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0,259558,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic
KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
Brandi Carlile,rainy day indie,Throwing Good After Bad,0,247791,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58E-05,0.0915,0.316,138.016,4,acoustic
Brandi Carlile,Coffee Moment,This Time Tomorrow,0,206267,0.606,0.326,10,-10.031,1,0.0294,0.841,0,0.139,0.414,91.626,4,acoustic
KT Tunstall,sadsadchristmas,Lonely This Christmas,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0,306794,0.474,0.519,7,-5.291,1,0.0253,0.281,0,0.107,0.326,151.832,4,acoustic
Brandi Carlile,Mellow Adult Pop,When You're Wrong,0,266960,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37E-06,0.118,0.142,88.029,4,acoustic
Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
