song_name,song_popularity,song_duration_ms,song_danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Comedy,73,230666,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01E-06,0.358,0.715,87.917,4
Ghost - Acoustic,55,149610,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56E-06,0.101,0.267,77.489,4
To Begin Again,57,210826,0.438,0.359,0,-9.734,1,0.0557,0.21,0,0.117,0.12,76.332,4
Can't Help Falling In Love,71,201933,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07E-05,0.132,0.143,181.74,3
Hold On,82,198853,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4
Days I Will Remember,58,214240,0.688,0.481,6,-8.807,1,0.105,0.289,0,0.189,0.666,98.017,4
Say Something,74,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3
I'm Yours,80,242946,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
Lucky,74,189613,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4
Hunger,56,205594,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4
Give Me Your Forever,74,244800,0.627,0.363,8,-8.127,1,0.0291,0.279,0,0.0928,0.301,99.905,4
I Won't Give Up,69,240165,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3
Solo,52,198712,0.489,0.314,7,-9.245,0,0.0331,0.749,0,0.113,0.607,124.234,4
Bad Liar,62,248448,0.691,0.234,3,-6.441,1,0.0285,0.777,0,0.12,0.209,87.103,4
Hold On - Remix,56,188133,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83E-05,0.121,0.387,120.004,4
Falling in Love at a Coffee Shop,58,244986,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56E-05,0.179,0.238,83.457,3
ily (i love you baby),56,129750,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03E-06,0.125,0.414,110.154,4
At My Worst,54,169728,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17E-05,0.0853,0.609,91.803,4
Lucky,68,189613,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4
Photograph,67,260186,0.717,0.32,3,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4
I'm Yours,75,242946,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
Say Something,70,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3
A Drop in the Ocean,68,220239,0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3
Gravity,67,232760,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,4
Pano,75,254400,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3
And I Love Her,66,124933,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4
She Used To Be Mine,67,250266,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4
Superman (It's Not Easy),70,221693,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,4
93 Million Miles,67,216386,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4
Society,68,236306,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4
Brave,70,220573,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.10E-05,0.0425,0.758,185.063,4
I Won't Give Up,66,240165,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,3
I Was Born To Love You,67,265843,0.65,0.271,9,-11.081,1,0.0314,0.794,6.90E-05,0.196,0.21,78.036,4
Collide - Acoustic Version,67,277000,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95E-05,0.091,0.294,90.186,4
Come On Get Higher,71,215173,0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,4
Suddenly I See,73,201706,0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4
100 Years,66,244600,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17E-05,0.178,0.275,120.507,4
Love Song,73,258826,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,4
The Story,66,238493,0.544,0.5,11,-8.253,1,0.026,0.0325,3.78E-06,0.109,0.177,93.621,4
I Need You More Today,68,233728,0.461,0.522,11,-7.513,1,0.043,0.36,0,0.123,0.446,157.768,4
"Portland, Maine",66,203869,0.606,0.349,4,-13.967,1,0.0319,0.764,0.306,0.112,0.156,80.071,4
Out of My League,67,218800,0.538,0.315,0,-10.057,1,0.0291,0.96,0.00596,0.0979,0.4,91.921,3
Binibini,67,221538,0.642,0.374,5,-10.606,1,0.032,0.423,1.54E-06,0.435,0.0979,129.863,4
Collide,66,249120,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35E-05,0.119,0.342,93.931,4
Habang Buhay,69,244067,0.62,0.668,9,-5.719,1,0.0305,0.088,0,0.362,0.183,118.013,4
Nangangamba,70,210354,0.62,0.547,1,-6.772,1,0.0248,0.112,0,0.19,0.208,98.032,4
Asan Ka Na Ba,73,241132,0.676,0.768,5,-5.695,0,0.0294,0.149,0.00147,0.345,0.493,105.999,4
You Are the Best Thing,67,231840,0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99E-05,0.172,0.885,170.593,4
Blister In The Sun,71,145706,0.726,0.537,0,-8.896,1,0.114,0.316,0,0.0707,0.882,96.889,4
Habang Buhay,69,244067,0.62,0.668,9,-5.719,1,0.0305,0.088,0,0.362,0.183,118.013,4
Black Horse And The Cherry Tree,67,172373,0.748,0.786,4,-7.788,0,0.0641,0.328,0,0.34,0.917,104.833,4
Yakap,66,178947,0.738,0.39,8,-8.437,1,0.0334,0.409,0,0.107,0.547,113.979,4
Atrévete-Te-Te,75,239306,0.829,0.878,9,-5.951,1,0.101,0.0959,0,0.776,0.883,87.991,4
Muerte En Hawaii,71,189866,0.675,0.588,3,-7.168,1,0.177,0.789,0,0.95,0.879,79.989,4
La Vuelta Al Mundo,70,234133,0.748,0.538,0,-9.943,1,0.222,0.159,1.62E-06,0.167,0.779,124.974,4
Ojos Color Sol (feat. Silvio Rodríguez),68,215813,0.582,0.443,2,-7.816,1,0.0436,0.664,0,0.0703,0.452,78.071,4
La Que Me Gusta,71,239626,0.721,0.833,7,-7.469,1,0.0777,0.122,0.000115,0.135,0.549,100.005,4
Daddy Issues,87,260173,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
Little Dark Age,83,299960,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
Softcore,86,206280,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
Sweater Weather,93,240400,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
You Get Me So High,83,153000,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4
Play with Fire (feat. Yacht Money),76,180690,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16E-05,0.105,0.39,75.012,4
Something In The Way,76,232146,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Way down We Go,78,213706,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4
Unstoppable,73,192106,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01E-05,0.14,0.602,78.001,4
Smells Like Teen Spirit,83,301920,0.502,0.912,1,-4.556,1,0.0564,2.55E-05,0.000173,0.106,0.72,116.761,4
Blood // Water,75,216720,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4
Shut Up and Dance,83,199080,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
Born For This,69,237375,0.411,0.675,5,-6.251,0,0.0591,0.063,0,0.092,0.545,130.134,4
Daddy Issues (Remix) feat. Syd,75,181186,0.623,0.533,10,-8.164,1,0.0653,0.245,0.00717,0.112,0.247,84.982,4
Reflections,80,244013,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4
Somebody Else,73,347525,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,4
Creep,85,238640,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
The Reason,81,232800,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,4
No Surprises,82,229120,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4
Legend,71,189120,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85E-05,0.0727,0.462,82.001,4
Seven Nation Army,84,232106,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
Courtesy Call,72,236898,0.531,0.638,11,-5.145,0,0.0809,0.00409,0,0.0822,0.445,164.079,4
feel something,71,180161,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,4
Oceans (Where Feet May Fail),71,536000,0.264,0.363,2,-10.196,1,0.0338,0.501,0.00406,0.11,0.0613,124.328,4
Oh Caroline,76,212568,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01E-05,0.0994,0.819,96.538,4
Here Without You,76,238733,0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,4
Snow (Hey Oh),80,334666,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75E-05,0.119,0.599,104.655,4
Renegades,76,195200,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4
Feel Invincible,72,229933,0.603,0.886,5,-3.777,0,0.0837,0.00045,0,0.26,0.395,126.025,4
Tongue Tied,79,218013,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
like that,70,185546,0.573,0.441,6,-5.799,0,0.0758,0.186,0,0.61,0.389,61.657,4
Boku no Sensou,66,280466,0.473,0.936,2,-4.877,1,0.0704,0.00916,0.0422,0.31,0.416,144.014,4
Losing My Religion,84,268426,0.666,0.855,9,-5.051,0,0.0295,0.179,1.20E-06,0.0987,0.803,125.639,4
Everybody Talks,80,177280,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4
