artist_name,album_name,song_name,song_genre
Gen Hoshino,Comedy,Comedy,acoustic
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,acoustic
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,acoustic
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,acoustic
Chord Overstreet,Hold On,Hold On,acoustic
Tyrone Wells,Days I Will Remember,Days I Will Remember,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,acoustic
Ross Copperman,Hunger,Hunger,acoustic
Zack Tabudlo,Episode,Give Me Your Forever,acoustic
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,acoustic
Dan Berk,Solo,Solo,acoustic
Anna Hamilton,Bad Liar,Bad Liar,acoustic
Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,acoustic
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,acoustic
Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),acoustic
Andrew Foy;Renee Foy,At My Worst,At My Worst,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,acoustic
Ron Pope,The Bedroom Demos,A Drop in the Ocean,acoustic
Sara Bareilles,Little Voice,Gravity,acoustic
Zack Tabudlo,Pano,Pano,acoustic
Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,acoustic
Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,acoustic
Five For Fighting,America Town,Superman (It's Not Easy),acoustic
Jason Mraz,Love Is a Four Letter Word,93 Million Miles,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,acoustic
Sara Bareilles,The Blessed Unrest,Brave,acoustic
Jason Mraz,I Won't Give Up,I Won't Give Up,acoustic
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,acoustic
Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,acoustic
Matt Nathanson,Some Mad Hope,Come On Get Higher,acoustic
KT Tunstall,Eye To The Telescope,Suddenly I See,acoustic
Five For Fighting,The Battle for Everything,100 Years,acoustic
Sara Bareilles,Little Voice,Love Song,acoustic
Brandi Carlile,The Story,The Story,acoustic
Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,I Need You More Today,acoustic
Donovan Woods,"Hard Settle, Ain't Troubled","Portland, Maine",acoustic
Stephen Speaks,No More Doubt,Out of My League,acoustic
Zack Tabudlo,Binibini,Binibini,acoustic
Howie Day,Stop All The World Now,Collide,acoustic
Zack Tabudlo,Episode,Habang Buhay,acoustic
Zack Tabudlo,Nangangamba,Nangangamba,acoustic
Zack Tabudlo,Asan Ka Na Ba,Asan Ka Na Ba,acoustic
Ray LaMontagne,Gossip In The Grain,You Are the Best Thing,acoustic
Violent Femmes,Violent Femmes,Blister In The Sun,acoustic
Zack Tabudlo,Habang Buhay,Habang Buhay,acoustic
KT Tunstall,Eye To The Telescope,Black Horse And The Cherry Tree,acoustic
Zack Tabudlo,Yakap,Yakap,acoustic
Calle 13,Calle 13 (Explicit Version),Atrévete-Te-Te,afrobeat
Calle 13,Entren Los Que Quieran,Muerte En Hawaii,afrobeat
Calle 13,Entren Los Que Quieran,La Vuelta Al Mundo,afrobeat
Calle 13;Silvio Rodríguez,MultiViral,Ojos Color Sol (feat. Silvio Rodríguez),afrobeat
Los Amigos Invisibles,Repeat After Me,La Que Me Gusta,afrobeat
The Neighbourhood,Wiped Out!,Daddy Issues,alt-rock
MGMT,Little Dark Age,Little Dark Age,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,alt-rock
The Neighbourhood,I Love You.,Sweater Weather,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,alt-rock
Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),alt-rock
Nirvana,Nevermind (Remastered),Something In The Way,alt-rock
KALEO,A/B,Way down We Go,alt-rock
The Score,ATLAS,Unstoppable,alt-rock
Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,alt-rock
grandson,Blood // Water,Blood // Water,alt-rock
WALK THE MOON,TALKING IS HARD,Shut Up and Dance,alt-rock
The Score,Carry On,Born For This,alt-rock
The Neighbourhood;Syd,Daddy Issues (Remix) feat. Syd,Daddy Issues (Remix) feat. Syd,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,alt-rock
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody Else,alt-rock
Radiohead,Pablo Honey,Creep,alt-rock
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,alt-rock
Radiohead,OK Computer,No Surprises,alt-rock
The Score,ATLAS,Legend,alt-rock
The White Stripes,Elephant,Seven Nation Army,alt-rock
Thousand Foot Krutch,The End Is Where We Begin,Courtesy Call,alt-rock
Bea Miller,feel something,feel something,alt-rock
Hillsong UNITED;TAYA,Zion,Oceans (Where Feet May Fail),alt-rock
The 1975,Being Funny In A Foreign Language,Oh Caroline,alt-rock
3 Doors Down,Away From The Sun,Here Without You,alt-rock
Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),alt-rock
X Ambassadors,VHS,Renegades,alt-rock
Skillet,Unleashed,Feel Invincible,alt-rock
Grouplove,Never Trust a Happy Song,Tongue Tied,alt-rock
Bea Miller,aurora,like that,alt-rock
Shinsei Kamattechan,Boku no Sensou,Boku no Sensou,alt-rock
R.E.M.,Out Of Time (25th Anniversary Edition),Losing My Religion,alt-rock
Neon Trees,Picture Show,Everybody Talks,alt-rock
The Strokes,The New Abnormal,The Adults Are Talking,alt-rock
Creed,Weathered,One Last Breath,alt-rock
Matt Redman,"10,000 Reasons (Live)","10,000 Reasons (Bless The Lord) - Live",alt-rock
The Score,Carry On,Stronger,alt-rock
Young the Giant,Mirrorball / Mind Over Matter (Reprise),Mind Over Matter (Reprise),alt-rock
Dominic Fike;Zendaya,"Elliot's Song (From ""Euphoria"" An HBO Original Series)","Elliot's Song - From ""Euphoria"" An HBO Original Series",alt-rock
Welshly Arms,No Place Is Home,Legendary,alt-rock
Nirvana,MTV Unplugged In New York,The Man Who Sold The World,alt-rock
Skillet,Awake,Hero,alt-rock
Nirvana,In Utero - 20th Anniversary - Deluxe Edition,Heart-Shaped Box,alt-rock
Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,alt-rock
The Neighbourhood,Wiped Out!,Cry Baby,alt-rock
The 1975,Being Funny In A Foreign Language,About You,alt-rock
Sam Tinnesz,Babel,Legends Are Made,alt-rock
The Neighbourhood,Chip Chrome & The Mono-Tones,Pretty Boy,alt-rock
Pixies,Death to the Pixies,Where Is My Mind?,alt-rock
Mazzy Star,So Tonight That I Might See,Fade Into You,alt-rock
Franz Ferdinand,This fffire,This fffire - New Version,alt-rock
The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not With You),alt-rock
The 1975,Being Funny In A Foreign Language,The 1975,alt-rock
Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,alt-rock
Adam Jensen,The Mystic,The Mystic,alt-rock
Pixies,Surfer Rosa,Where Is My Mind? - Remastered,alt-rock
The Verve,Urban Hymns (Remastered 2016),Bitter Sweet Symphony,alt-rock
Smash Mouth,Astro Lounge,All Star,alt-rock
The Neighbourhood,#000000 & #FFFFFF,Unfair,alt-rock
X Ambassadors,VHS,Unsteady,alt-rock
The 1975,Being Funny In A Foreign Language,I'm In Love With You,alt-rock
The 1975,Being Funny In A Foreign Language,Happiness,alt-rock
lovelytheband,sail away,sail away,alt-rock
Nirvana,In Utero - 20th Anniversary Remaster,Dumb,alt-rock
The 1975,Being Funny In A Foreign Language,When We Are Together,alt-rock
Papa Roach,Infest,Last Resort,alt-rock
The 1975,Being Funny In A Foreign Language,Looking For Somebody (To Love),alt-rock
The 1975,Being Funny In A Foreign Language,Part Of The Band,alt-rock
Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,alt-rock
Foo Fighters,The Colour And The Shape,Everlong,alt-rock
Lauren Daigle,Look Up Child,You Say,alt-rock
Bea Miller;Arcane;League of Legends,Playground (from the series Arcane League of Legends),Playground (from the series Arcane League of Legends),alt-rock
Skillet,Unleashed,The Resistance,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Void,alt-rock
Declan McKenna,What Do You Think About the Car?,Brazil,alt-rock
Red Hot Chili Peppers,Californication (Deluxe Edition),Otherside,alt-rock
Lifehouse,Lifehouse,You And Me,alt-rock
Red Hot Chili Peppers,Californication (Deluxe Edition),Scar Tissue,alt-rock
Nickelback,Silver Side Up,How You Remind Me,alt-rock
Radiohead,OK Computer,Karma Police,alt-rock
Nickelback,All the Right Reasons,Far Away,alt-rock
Red Hot Chili Peppers,The Getaway,Dark Necessities,alt-rock
Nirvana,Nevermind (Remastered),Lithium,alt-rock
WALK THE MOON,What If Nothing,Lost In The Wild,alt-rock
Bohnes,Middle Finger - Single,Middle Finger,alt-rock
Barns Courtney,The Attractions Of Youth,Glitter & Gold,alt-rock
The 1975,Being Funny In A Foreign Language,Wintering,alt-rock
Arrested Youth,Sobville (Episode I),The Kid I Used to Know,alt-rock
Leeland,Better Word (Live),Way Maker - Live,alt-rock
Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,alt-rock
The Neighbourhood,Fallen Star,Fallen Star,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Compass,alt-rock
The Neighbourhood,I'm Sorry...,Wires,alt-rock
The Neighbourhood,Chip Chrome & The Mono-Tones,Devil's Advocate,alt-rock
MGMT,Oracular Spectacular,Kids,alt-rock
lovelytheband,finding it hard to smile,broken,alt-rock
Bryce Fox,Heaven on Hold,Horns,alt-rock
Jet,Get Born,Are You Gonna Be My Girl,alt-rock
The Neighbourhood,I Love You.,Flawless,alt-rock
Radiohead,The Bends,High and Dry,alt-rock
The Strokes,Comedown Machine,"Call It Fate, Call It Karma",alt-rock
Casting Crowns;Matthew West,Only Jesus,Nobody (feat. Matthew West),alt-rock
Thousand Foot Krutch,The End Is Where We Begin,War of Change,alt-rock
Foo Fighters,"Echoes, Silence, Patience & Grace",The Pretender,alt-rock
The Neighbourhood,Wiped Out!,R.I.P. 2 My Youth,alt-rock
The Neighbourhood,Chip Chrome & The Mono-Tones,Cherry Flavoured,alt-rock
The Technicolors,Ultraviolet Disguise (Deluxe Edition),Tonight You Are Mine,alt-rock
The 1975,Happiness,Happiness,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Nervous,alt-rock
Dominic Fike,What Could Possibly Go Wrong,Why,alt-rock
Weezer,Weezer (Green Album),Island In The Sun,alt-rock
3 Doors Down,The Better Life,Kryptonite,alt-rock
Skillet,Awake,Awake and Alive,alt-rock
Weathers,Happy Pills,Happy Pills,alt-rock
R.E.M.,Automatic For The People,Everybody Hurts,alt-rock
MISSIO,Loner,Twisted,alt-rock
Radiohead,The Bends,Fake Plastic Trees,alt-rock
Chris Tomlin,The Ultimate Playlist,Good Good Father,alt-rock
Saint Motel,My Type EP,My Type,alt-rock
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Scary Love,alt-rock
Young the Giant,Mind Over Matter,Mind Over Matter,alt-rock
The Strokes,The New Abnormal,Selfless,alt-rock
Living Colour,Vivid (Expanded Edition),Cult of Personality,alt-rock
Nickelback,Dark Horse,Burn It to the Ground,alt-rock
Soundgarden,Superunknown (Deluxe Edition),Black Hole Sun,alt-rock
Nirvana,Nirvana,About A Girl,alt-rock
The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid",alt-rock
The Neighbourhood,Wiped Out!,Baby Came Home 2 / Valentines,alt-rock
MGMT,Oracular Spectacular,Electric Feel,alt-rock
The 1975,A Brief Inquiry Into Online Relationships,Love It If We Made It,alt-rock
Crazy Town,The Gift Of Game,Butterfly,alt-rock
RAC;Louis The Child,BOY,Passion,alt-rock
Hinder,Extreme Behavior,Lips Of An Angel,alt-rock
Radiohead,OK Computer,Exit Music (For A Film),alt-rock
Jimmy Eat World,Bleed American,The Middle,alt-rock
Radiohead,In Rainbows,Weird Fishes/ Arpeggi,alt-rock
Young the Giant,Young The Giant (Special Edition),Cough Syrup,alt-rock
Red Hot Chili Peppers,Stadium Arcadium,Dani California,alt-rock
Audioslave,Out of Exile,Be Yourself,alt-rock
Blur,Blur (Special Edition),Song 2 - 2012 Remaster,alt-rock
Alter Bridge,One Day Remains,Metalingus,alt-rock
Nickelback,All the Right Reasons (Walmart Exclusive Edition),Rockstar,alt-rock
The 1975,The 1975,Chocolate,alt-rock
Lauren Daigle,How Can It Be,Trust in You,alt-rock
Franz Ferdinand,Franz Ferdinand,Take Me Out,alt-rock
Pearl Jam,Ten,Black,alt-rock
Pearl Jam,Ten,Alive,alt-rock
Megadeth,Countdown To Extinction,Symphony Of Destruction,alt-rock
The Neighbourhood,I Love You.,W.D.Y.W.F.M?,alt-rock
Pearl Jam,Last Kiss,Last Kiss,alt-rock
Radiohead,In Rainbows,Nude,alt-rock
Nirvana,MTV Unplugged In New York,Where Did You Sleep Last Night,alt-rock
Incubus,Make Yourself,Drive,alt-rock
The Strokes,Is This It,Last Nite,alt-rock
No Doubt,Tragic Kingdom,Don't Speak,alt-rock
The Killers,Day & Age (Bonus Tracks),Human,alt-rock
The Killers,Hot Fuss,Somebody Told Me,alt-rock
Nirvana,In Utero - 20th Anniversary Remaster,All Apologies,alt-rock
Red Hot Chili Peppers,Return of the Dream Canteen,The Drummer,alt-rock
Skillet,Rise (Deluxe Edition),Not Gonna Die,alt-rock
Creed,Weathered,My Sacrifice,alt-rock
Three Days Grace,One-X,Animal I Have Become,alt-rock
The Strokes,The New Abnormal,Ode To The Mets,alt-rock
KALEO,A/B,All the Pretty Girls,alt-rock
Red Hot Chili Peppers,Return of the Dream Canteen,Tippa My Tongue,alt-rock
Radiohead,OK Computer,Paranoid Android,alt-rock
Foo Fighters,There Is Nothing Left To Lose,Learn to Fly,alt-rock
The Neighbourhood,Wiped Out!,Prey,alt-rock
Deftones,White Pony,Change (In the House of Flies),alt-rock
Audioslave,Audioslave,Like a Stone,alt-rock
Radiohead,Kid A,How to Disappear Completely,alt-rock
Foo Fighters,In Your Honor,Best of You,alt-rock
Lauren Daigle,Look Up Child,Rescue,alt-rock
Red Hot Chili Peppers,Return of the Dream Canteen,Fake as Fu@k,alt-rock
The Struts,Everybody Wants,Could Have Been Me,alt-rock
Red Hot Chili Peppers,Return of the Dream Canteen,Eddie,alt-rock
Red Hot Chili Peppers,Return of the Dream Canteen,Bella,alt-rock
Pantera,Vulgar Display of Power,Walk,alt-rock
The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),Howlin' for You,alt-rock
Red Hot Chili Peppers,Return of the Dream Canteen,Reach Out,alt-rock
Megadeth,Rust In Peace (Expanded Edition),Tornado Of Souls - Remastered 2004,alt-rock
Seether;Amy Lee,Disclaimer II,Broken,alt-rock
Alice In Chains,Jar Of Flies,Nutshell,alt-rock
Neon Trees,Habits (Spotify),Animal,alt-rock
Marilyn Manson,Smells Like Children,Sweet Dreams (Are Made Of This),alt-rock
Three Days Grace,One-X,Time of Dying,alt-rock
Skillet,Comatose,Whispers in the Dark,alt-rock
Nirvana,Nevermind (Remastered),In Bloom,alt-rock
TOOL,"10,000 Days",The Pot,alt-rock
Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom,alt-rock
Sanctus Real,My God Is Still The Same,My God Is Still The Same,alt-rock
The Black Keys,Dropout Boogie,Wild Child,alt-rock
Alice In Chains,Facelift,Man in the Box,alt-rock
Saint Motel,My Type,My Type,alt-rock
half•alive,"Now, Not Yet",still feel.,alt-rock
MGMT,Oracular Spectacular,Time to Pretend,alt-rock
Peter Bjorn and John,Writer's Block,Young Folks,alt-rock
The Killers,Sam's Town,When You Were Young,alt-rock
Rammstein,Mutter,Sonne,alt-rock
Red Hot Chili Peppers,By the Way (Deluxe Edition),By the Way,alt-rock
Pearl Jam,Ten,Even Flow,alt-rock
Rage Against The Machine,Evil Empire,Bulls On Parade,alt-rock
Rammstein,Rammstein,Deutschland,alt-rock
Palaye Royale,The Bastards,Lonely,alt-rock
Radiohead,In Rainbows,Jigsaw Falling Into Place,alt-rock
TOOL,Lateralus,Schism,alt-rock
Sick Puppies,Tri-Polar (International Version),You're Going Down,alt-rock
The Neighbourhood,Wiped Out!,Daddy Issues,alternative
Amaarae;Kali Uchis;Moliy,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),alternative
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,alternative
The Neighbourhood,I Love You.,Sweater Weather,alternative
GAYLE,abcdefu,abcdefu,alternative
THE ANXIETY;WILLOW;Tyler Cole,THE ANXIETY,Meet Me At Our Spot,alternative
Linkin Park,Hybrid Theory (Bonus Edition),In the End,alternative
Linkin Park,Meteora,Numb,alternative
Bella Poarch,Build a Bitch,Build a Bitch,alternative
Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Life Goes On,alternative
Bella Poarch,Dolls EP,Living Hell,alternative
The Score,ATLAS,Unstoppable,alternative
grandson,Blood // Water,Blood // Water,alternative
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,alternative
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody Else,alternative
Radiohead,Pablo Honey,Creep,alternative
The Score,ATLAS,Legend,alternative
Bella Poarch,Dolls,Dolls,alternative
GAYLE,abcdefu (angrier),abcdefu (angrier),alternative
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,alternative
The Neighbourhood;Syd,Daddy Issues (Remix) feat. Syd,Daddy Issues (Remix) feat. Syd,alternative
Evanescence,Fallen,Bring Me To Life,alternative
The 1975,The 1975,Robbers,alternative
DJ Shadow;Mos Def,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),Six Days - Remix,alternative
Linkin Park;Kiiara,One More Light,Heavy (feat. Kiiara),alternative
Justine Skye;Tyga,Collide (Remix Pack),Collide (Sped Up Remix),alternative
Crystal Castles,(III),Transgender,alternative
THE ANXIETY;WILLOW;Tyler Cole,Meet Me At Our Spot (Live),Meet Me At Our Spot - Live,alternative
Linkin Park,LIVING THINGS,BURN IT DOWN,alternative
Avenged Sevenfold,Avenged Sevenfold,Dear God,alternative
Skillet,Awake,Monster,alternative
Royal & the Serpent,Overwhelmed,overwhelmed,alternative
Red Hot Chili Peppers,Californication (Deluxe Edition),Californication,alternative
The White Stripes,Elephant,Seven Nation Army,alternative
Radiohead,OK Computer,No Surprises,alternative
MARINA,Electra Heart (Deluxe),Bubblegum Bitch,alternative
Thousand Foot Krutch,The End Is Where We Begin,Courtesy Call,alternative
Ashes Remain,What I've Become,On My Own,alternative
The Neighbourhood,Wiped Out!,The Beach,alternative
The Neighbourhood,Chip Chrome & The Mono-Tones (Deluxe),Stargazing,alternative
Hillsong UNITED;TAYA,Zion,Oceans (Where Feet May Fail),alternative
Gorillaz;Tame Impala;Bootie Brown,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),alternative
The 1975,I'm In Love With You,I'm In Love With You,alternative
Gorillaz,Demon Days,Feel Good Inc.,alternative
System Of A Down,Toxicity,Chop Suey!,alternative
The Killers,Hot Fuss,Mr. Brightside,alternative
Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),alternative
Linkin Park,Meteora (Bonus Edition),Somewhere I Belong,alternative
The Score,ATLAS,Revolution,alternative
Linkin Park,Hybrid Theory (Bonus Edition),One Step Closer,alternative
Linkin Park,Meteora,Faint,alternative
Nirvana,Nevermind (Remastered),Come As You Are,alternative
Skillet,Unleashed,Feel Invincible,alternative
Oliver Tree;Robin Schulz,Miss You,Miss You,alternative
Kavinsky,Nightcall,Nightcall,alternative
Fitz and The Tantrums,Out of My League,Out of My League,alternative
The 1975,Being Funny In A Foreign Language,Oh Caroline,alternative
The Neighbourhood,I Love You.,Afraid,alternative
Gorillaz,Plastic Beach,Rhinestone Eyes,alternative
3 Doors Down,Away From The Sun,Here Without You,alternative
Princess Nokia,Everything Sucks,I Like Him,alternative
X Ambassadors,VHS,Renegades,alternative
Linkin Park,Hybrid Theory (Bonus Edition),Crawling,alternative
Royal & the Serpent;Chri$tian Gate$,overwhelmed (the remixes),overwhelmed - Chri$tian Gate$ remix,alternative
Dominic Fike;Zendaya,"Elliot's Song (From ""Euphoria"" An HBO Original Series)","Elliot's Song - From ""Euphoria"" An HBO Original Series",alternative
The Strokes,The New Abnormal,The Adults Are Talking,alternative
Neon Trees,Picture Show,Everybody Talks,alternative
Shinsei Kamattechan,Boku no Sensou,Boku no Sensou,alternative
Bella Poarch,Dolls EP,Villain,alternative
Creed,Weathered,One Last Breath,alternative
Skillet,Awake,Hero,alternative
Linkin Park,Meteora (Bonus Edition),Breaking the Habit,alternative
Linkin Park,Hybrid Theory (Bonus Edition),Papercut,alternative
Nirvana,In Utero - 20th Anniversary - Deluxe Edition,Heart-Shaped Box,alternative
